environment, "Сообщения об параметрах системы"
event, "События рабочего процесса"
eventQueue, "Отслеживание очереди событий"
expense, "Отчет о расходах"
expenseAdmin, "Пользовательский интерфейс администрирования правил расходов"
expense.tbp, "Поставщик регистрации командировок"
expense.imaging, "Работа с изображениями квитанций расходов"
expenseExport, "Экспорт данных для Ariba mForm"
expenseMobile, "Сообщения, касающиеся мобильного клиента сервера Ariba Buyer"
expensePolicyAudit, "Контрольный журнал для параметров политики расходов и обновления параметров политики аудита расходов"
exprTrace, "Отслеживание оценки всех выражений (включая пользовательские выражения)"
extracosts, "Дополнительные затраты"
fetch, "Запросы объектов от клиента серверу"
fieldProperties, "Сообщения, касающиеся обработки свойств полей"
fields, "Сообщения, касающиеся обработки форматов полей"
fileAccess,"Сообщения, касающиеся доступа к файлам"
fileChannelIO, "Сообщения, связанные с каналом ввода-вывода файлов"
folder, "События загрузки папок"
form,"Отслеживание сообщений о формах данных и электронных формах"
form.eform, "Отслеживание сообщений об электронных формах"
general, "Основные сообщения журнала"
graphs, "Восстановление графических объектов"
group, "Отслеживание форматирования групповых представлений"
harness, "Сообщения, связанные с системой"
harnessContext, "Сообщения для объектов сохраненные или извлеченных в контексте"
harnessDetails, "Сообщения, связанные с отладкой системы"
help, "Сообщения, связанные с доступом к страницам справки"
i18n, "Ресурсы глобализации и локализации"
integrationEvent, "Сообщения интеграции"
integrationExternal, "Все сообщения, опубликованные из внешних процессов, запущенных системой Ariba"
integrationMaster, "Основные сведения интеграции"
integrationDetailMaster, "Основные подробности интеграции"
integrationMaster.adapterSource, "Сообщения, касающиеся источников данных"
integrationMaster.alert, "Предупреждения системы обмена сообщениями"
integrationMaster.alert.amf.base, "Предупреждения базового компонента системы обмена сообщениями"
integrationMaster.batchCommit, "Сообщения, касающиеся пакетных операций фиксации"
integrationMaster.cds, "Регистрация данных, касающихся CDS"
integrationMaster.amfBaseMaster, "Основные данные базового компонента системы обмена сообщениями"
integrationMaster.amfBaseMaster.integrationMeta, "Метаданные интеграции"
integrationMaster.amfBaseMaster.integrationMetaDetails, "Подробности метаданных интеграции"
integrationMaster.amfBaseMaster.integrationObjectAdapter, "Все сообщения, связанные с источником объекта интеграции"
integrationMaster.amfBaseMaster.integrationObjectAdapterDetails, "Все подробные сообщения, связанные с источником объекта интеграции"
integrationMaster.amfBaseMaster.integrationObjectNotifications, "Сообщения, связанные с уведомлениями объектов интеграции"
integrationMaster.amfBaseMaster.integrationPersistence, "Сообщения о метаданных конфигурации интеграции"
integrationMaster.amfBaseMaster.integrationQueryservice, "Сообщения интеграции данных, связанные с запросом"
integrationMaster.convapiChannelMaster,"Все сообщения канала Convapi"
integrationMaster.fileChannelMaster, "Все сообщения файлового канала"
integrationMaster.fileChannelMaster.dataExport, "Регистрирует данные во время экспорта файлового канала"
integrationMaster.fileChannelMaster.dataImport, "Регистрирует данные во время импорта файлового канала"
integrationMaster.fileChannelMaster.event, "Регистрирует данные событий файловых каналов"
integrationMaster.fileChannelMaster.fileChannelConfiguration, "Сообщения конфигурации файловых каналов"
integrationMaster.fileChannelMaster.fileChannelEncoder, "Сообщения кодировщика файловых каналов"
integrationMaster.fileChannelMaster.fileChannelDataLoad, "Сообщения загрузки данных файловых каналов"
integrationMaster.fileChannelMaster.fileExport, "Сообщения, связанные с экспортом файлового канала"
integrationMaster.fileChannelMaster.fileIO, "Регистрирует сообщения связанные с вводом-выводом файлов"
integrationMaster.integrationEvent, "Сведения о событиях интеграции"
integrationMaster.wsChannelMaster, "Все сообщения канала веб-службы"
integrationMaster.wsChannelMaster.wsChannelConfiguration, "Сообщения настройки канала веб-службы"
integrationMaster.wsChannelMaster.wsChannelEncoder, "Сообщения кодировщика канала веб-службы"
integrationMaster.wsChannelMaster.wsChannelDataLoad, "Сообщения загрузки данных канала веб-службы"
integrationMaster.wsChannelMaster.wsChannelMigration, "Сообщения миграции канала веб-службы"
integrationMaster.wsChannelMaster.wsExport, "Сообщения экспорта канала веб-службы"
integrationMaster.wsChannelMaster.wsIO, "Регистрирует сообщения вывода-вывода веб-службы"
integrationMaster.wsChannelDetails.wsMessages, "Регистрирует содержимое всех переданных сообщений XML"
integrationMaster.httpChannelMaster, "Все сообщения канала HTTP"
integrationDetailMaster.httpChannelMaster, "Все сообщения подробностей канала HTTP"
integrationMaster.httpChannelMaster.httpChannelConfiguration, "Сообщения, связанные с настройкой канала HTTP"
integrationMaster.httpChannelMaster.httpChannelEncoder, "Сообщения, связанные с кодированием/декодированием в канале HTTP"
integrationMaster.httpChannelMaster.httpIO, "Сообщения ввода-вывода в канале HTTP"
integrationMaster.channelTibcoMaster.integrationTop, "Используется для определения событий в очереди Ariba Server"
integrationMaster.channelTibcoMaster.integrationExternal, "Журнал, связанный с любым внешним процессом, запущенным нами."
integrationMaster.channelTibcoMaster.integrationVendor_TibcoDetails, "Журнал от стороннего поставщика"
integrationMaster.channelTibcoMaster.integrationVendor_Tibco_TPMDetails, "Подробные сообщения диспетчера процессов Tibco Process"
integrationMaster.channelTibcoMaster.integrationVendor_Tibco_TPM, "Сообщения диспетчера процессов Tibco Process"
integrationMaster.channelTibcoMaster, "Это родительская категория, включающая ведение журнала Tibco."
integrationMaster.channelTibcoMaster.integrationVendor_Tibco, "Журнал от стороннего поставщика"
integrationMaster.clientutil, "Журнал от клиентских утилит, которые используются при интеграции"
integrationMaster.integrationConfiguration, "Ведение журнала настройки интеграции"
integrationDetailMaster.integrationConfiguration, "Ведение журнала подробностей настройки интеграции"
integrationMaster.integrationDecoder, "Ведение журнала декодера интеграции"
integrationMaster.integrationEncoder, "Ведение журнала кодировщика интеграции"
integrationDetailMaster.integrationEncoder, "Ведение журнала подробностей кодировщика интеграции"
integrationDetailMaster.integrationDecoder, "Ведение журнала подробностей декодера интеграции"
integrationMaster.integrationMessageContext, "Данные сведения с контекстом сообщения"
integrationMaster.integrationMigration, "Сообщения, связанные с миграцией"
integrationMaster.integrationUtil, "Сообщения классов утилиты интеграции"
integrationMaster.sqlChannelMaster, "Все сообщения канала SQL"
integrationMigration, "Ведение журнала миграции интеграции"
integrationObjectAPI, "Все сообщения, связанные с API объекта интеграции"
integrationReceive, "События получения интеграции"
integrationSend, "Сообщения, связанные с отправкой интеграции"
integrationTop, "Определяют события в очереди Ariba Server"
integrationVendor_CSV, "Все сообщения CSV-канала интеграции"
internodes, "Сообщения связей между узлами"
invoicingPerf, "Отслеживание эффективности выставления счетов-фактур"
invoicingUI,  "Отслеживание пользовательского интерфейса выставления счетов-фактур"
isDriver, "Сообщения драйверов"
isError, "Сообщения об ошибках сервера интеграции"
isMapping, "Сообщения сопоставлений"
isMaster, "Сообщения сервера интеграции, включающие isServer, aribaISServer и isDriver"
isMeta, "Сообщения метаданных"
isMisc, "Различные сообщения сервера интеграции"
isServer, "Сообщения, отправленные на сервер интеграции"
j2ee, "Сообщения, связанные с использованием технологий J2EE"
javagroups, "Сообщения, связанные с JavaGroups"
javascript, "Сообщения, связанные с выполнением сценариев javascript"
jdbc, "Предупреждения JDBC и режим изоляции транзакций базы данных"
jdbcperf, "Сообщения ведения журнала эффективности драйвера JDBC"
kitting, "Отслеживание сообщений, связанных с комплектами каталогов, например наборов позиций каталогов"
laborKit, "Отслеживание комплекта трудовых ресурсов"
layout, "Компиляция схемы из XML"
layout.classMappings,"Сопоставления классов и сопоставления полей из метаданных"
locale, "Отладочные сведения, связанные с идентификатором языкового стандарта"
lockSnoop, "Отслеживание низкоуровневых блокировок для отладки взаимных блокировок и удерживаемых блокировок чтения"
login, "Входы и выходы из системы клиентов"
lruCheck, "Выполнение проверки целостности таблиц LRU"
lruDebug, "Сохранение таблиц LRU при изменении размера и удалении (кратко с lruCheck)"
lruPurge, "Объекты примечаний, удаляемые из таблиц LRU"
